"Issue Type","Epic Link","Parent","Summary","Description","Story Points","Priority","Sprint","Labels","Status"
"Sub-task","","Waste review queue plus confirm/reject endpoints (US-12)","POST /waste-records/:id/reject","No stock change, lot stays usable","","","Sprint 10","waste US-12","To Do"
"Story","Reports & Recommendations","","Weekly cost/profit, thaw-prep, and procurement report endpoints (US-13)","GET reports/weekly-cost-profit, thaw-prep-recommendation, procurement-recommendation","5","Medium","Sprint 10","reports US-13 UC-N3 UC-N8","To Do"
"Sub-task","","Weekly cost/profit, thaw-prep, and procurement report endpoints (US-13)","GET /reports/weekly-cost-profit","Wraps get_weekly_cost_profit_report()","","","Sprint 10","reports US-13","To Do"
"Sub-task","","Weekly cost/profit, thaw-prep, and procurement report endpoints (US-13)","GET /reports/thaw-prep-recommendation","Wraps get_thaw_prep_recommendation()","","","Sprint 10","reports UC-N3","To Do"
"Sub-task","","Weekly cost/profit, thaw-prep, and procurement report endpoints (US-13)","GET /reports/procurement-recommendation","Wraps get_procurement_recommendation()","","","Sprint 10","reports UC-N8","To Do"
"Task","Deployment & Documentation","","Schedule pg_cron jobs","auto_confirm sweep, mark_not_fresh_lots, expire_table_sessions, flag_waste_candidates, check_freezer_expiry_warnings","5","High","Sprint 10","deployment","To Do"
"Sub-task","","Schedule pg_cron jobs","Schedule auto-confirm sweep","Short interval, e.g. every 10-30 seconds","","","Sprint 10","deployment","To Do"
"Sub-task","","Schedule pg_cron jobs","Schedule mark_not_fresh_lots and expire_table_sessions","Hourly or daily depending on load","","","Sprint 10","deployment","To Do"
"Sub-task","","Schedule pg_cron jobs","Schedule flag_waste_candidates and check_freezer_expiry_warnings","Daily","","","Sprint 10","deployment","To Do"
"Task","Frontend Integration","","Wire Customer app to real API","Menu, OrderBuilder, OrderHistory, GracePeriodCountdown against live endpoints","8","Highest","Sprint 11","frontend-integration","To Do"
"Sub-task","","Wire Customer app to real API","Menu.tsx fetches real menu-items and search","Replaces mock data with live API calls","","","Sprint 11","frontend-integration","To Do"
"Sub-task","","Wire Customer app to real API","OrderBuilder.tsx submits real POST /orders","Handles UC-N9 customization payload","","","Sprint 11","frontend-integration","To Do"
"Sub-task","","Wire Customer app to real API","GracePeriodCountdown.tsx polls order status and wires cancel","Countdown UI tied to confirm_at","","","Sprint 11","frontend-integration","To Do"
"Sub-task","","Wire Customer app to real API","OrderHistory.tsx fetches real order list","Scoped to current table_session","","","Sprint 11","frontend-integration","To Do"
"Task","Frontend Integration","","Wire Owner pages to real API","All 11 Owner page stubs against live endpoints","13","Highest","Sprint 11","frontend-integration","To Do"
"Sub-task","","Wire Owner pages to real API","Dashboard.tsx fetches weekly-cost-profit report","Renders the 4 summary cards","","","Sprint 11","frontend-integration","To Do"
"Sub-task","","Wire Owner pages to real API","MenuManagement.tsx and UserManagement.tsx wire CRUD calls","Includes is_active toggle on UserManagement","","","Sprint 11","frontend-integration","To Do"
"Sub-task","","Wire Owner pages to real API","IngredientSettings.tsx wires threshold form","5-field threshold form per ingredient","","","Sprint 11","frontend-integration","To Do"
"Sub-task","","Wire Owner pages to real API","Remaining Owner pages wired","WasteReview, ProcurementRecommendation, StockMovementHistory, NotFreshInventory, Notifications, QrSettings, SystemLogs","","","Sprint 11","frontend-integration","To Do"
"Task","Frontend Integration","","Wire Staff and Cashier pages to real API","All 6 Staff + 3 Cashier page stubs incl. return button on OrdersToServe","8","High","Sprint 11","frontend-integration","To Do"
"Sub-task","","Wire Staff and Cashier pages to real API","ReceiveLot.tsx and TransferToThawPrep.tsx wired","Intake and transfer forms","","","Sprint 11","frontend-integration","To Do"
"Sub-task","","Wire Staff and Cashier pages to real API","AvailableServings.tsx wires real-time servings query","Min-across-ingredients calc from API","","","Sprint 11","frontend-integration","To Do"
"Sub-task","","Wire Staff and Cashier pages to real API","OrdersToServe.tsx wires serve and return buttons","Return button calls US-07 endpoint","","","Sprint 11","frontend-integration","To Do"
"Sub-task","","Wire Staff and Cashier pages to real API","CheckIn.tsx, CheckOut.tsx, TableList.tsx wired","Cashier table/QR lifecycle","","","Sprint 11","frontend-integration","To Do"
"Bug","Testing & QA","","E2E test: race condition on last-item order confirm","Two tables confirming simultaneously, first-confirm-wins","5","High","Sprint 11","testing","To Do"
"Sub-task","","E2E test: race condition on last-item order confirm","Write concurrent-request test script","2 simultaneous orders against the last available plate","","","Sprint 11","testing","To Do"
"Sub-task","","E2E test: race condition on last-item order confirm","Assert first-confirm-wins outcome","Exactly one order confirmed, other auto-cancelled with correct message","","","Sprint 11","testing","To Do"
"Bug","Testing & QA","","E2E test: full customer journey plus cross-role RBAC pass","Scan, order, grace period, serve, return; verify permission matrix from rims_uc_diagram_worksheet.md section 15","5","High","Sprint 11","testing","To Do"
"Sub-task","","E2E test: full customer journey plus cross-role RBAC pass","Write full customer journey script","Scan, order, grace period, auto-confirm, serve, return","","","Sprint 11","testing","To Do"
"Sub-task","","E2E test: full customer journey plus cross-role RBAC pass","RBAC verification pass","Hit each endpoint with wrong role, assert 403","","","Sprint 11","testing","To Do"
"Task","Deployment & Documentation","","Deploy Supabase migration to production project","Run 0001_init.sql against production instance","3","High","Sprint 12","deployment","To Do"
"Sub-task","","Deploy Supabase migration to production project","Run 0001_init.sql against production instance","Fresh production Supabase project","","","Sprint 12","deployment","To Do"
"Sub-task","","Deploy Supabase migration to production project","Verify pg_cron jobs are active in production","Confirm scheduled jobs from Sprint 10 actually fire","","","Sprint 12","deployment","To Do"
"Task","Deployment & Documentation","","Deploy apps/api, apps/customer, and apps/internal","Hono backend plus static hosting for both frontends","5","High","Sprint 12","deployment","To Do"
"Sub-task","","Deploy apps/api, apps/customer, and apps/internal","Deploy Hono API with env vars configured","Supabase URL/key set on hosting provider","","","Sprint 12","deployment","To Do"
"Sub-task","","Deploy apps/api, apps/customer, and apps/internal","Build and deploy apps/customer static build","Static hosting for Customer app","","","Sprint 12","deployment","To Do"
"Sub-task","","Deploy apps/api, apps/customer, and apps/internal","Build and deploy apps/internal static build","Static hosting for Internal app","","","Sprint 12","deployment","To Do"
"Task","Deployment & Documentation","","Write final project documentation/report","Course deliverable writeup","5","Medium","Sprint 12","deployment","To Do"
"Sub-task","","Write final project documentation/report","Write architecture and ERD sections","Pulls from rims_scope_lock_v2.md","","","Sprint 12","deployment","To Do"
"Sub-task","","Write final project documentation/report","Compile UC/US traceability appendix","Cross-reference from existing docs/","","","Sprint 12","deployment","To Do"
"Task","Deployment & Documentation","","Rehearse demo script","Customer order journey plus Owner dashboard walkthrough","2","Medium","Sprint 12","deployment","To Do"
"Sub-task","","Rehearse demo script","Script the customer order journey walkthrough","Scan, order, grace period, serve, return","","","Sprint 12","deployment","To Do"
"Sub-task","","Rehearse demo script","Script the Owner dashboard and reports walkthrough","Weekly cost/profit, waste review, procurement recommendation","","","Sprint 12","deployment","To Do"
